Tue Aug 14 2018 20:37:23Nilai ballast : 0.10202, Nilai error teta : -0.10189999693.082801818-91.0580978394, Error pitch : -0.1019
Tue Aug 14 2018 20:37:25Nilai ballast : 0.10335, Nilai error teta : -0.09469999393.082801818-91.0580978394, Error pitch : -0.0947
Tue Aug 14 2018 20:37:28Nilai ballast : 0.10494, Nilai error teta : -0.08889998593.082801818-91.0580978394, Error pitch : -0.0889
Tue Aug 14 2018 20:37:30Nilai ballast : 0.10828, Nilai error teta : -0.08469998892.313301086-97.4677963257, Error pitch : -0.0867
Tue Aug 14 2018 20:37:32Nilai ballast : 0.10943, Nilai error teta : -0.08109998792.156799316-98.4310989380, Error pitch : -0.0811
Tue Aug 14 2018 20:37:34Nilai ballast : 0.11267, Nilai error teta : -0.07559998391.888603210-99.9079971313, Error pitch : -0.0794
Tue Aug 14 2018 20:37:37Nilai ballast : 0.11333, Nilai error teta : -0.07359999491.787597656-100.4085006714, Error pitch : -0.0736
Tue Aug 14 2018 20:37:39Nilai ballast : 0.11498, Nilai error teta : -0.06779998591.568298339-101.4220962524, Error pitch : -0.0698
Tue Aug 14 2018 20:37:41Nilai ballast : 0.11632, Nilai error teta : -0.06239998391.063003540-103.4991989136, Error pitch : -0.0659
Tue Aug 14 2018 20:37:43Nilai ballast : 0.11770, Nilai error teta : -0.06099998990.923599243-104.0277023315, Error pitch : -0.0624
Tue Aug 14 2018 20:37:46Nilai ballast : 0.11861, Nilai error teta : -0.05709998390.481300354-105.6308975220, Error pitch : -0.0584
Tue Aug 14 2018 20:37:48Nilai ballast : 0.12089, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0571
Tue Aug 14 2018 20:37:50Nilai ballast : 0.12216, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:37:53Nilai ballast : 0.12496, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:37:55Nilai ballast : 0.13039, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:37:57Nilai ballast : 0.13311, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:37:59Nilai ballast : 0.13582, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:38:02Nilai ballast : 0.13854, Nilai error teta : -0.05429999590.197502136-106.7216033936, Error pitch : -0.0543
Tue Aug 14 2018 20:39:11Nilai ballast : -0.17374, Nilai error teta : 0.5146999955101.19309997-160.1006927490, Error pitch : 0.5147
Tue Aug 14 2018 20:39:14Nilai ballast : -0.18388, Nilai error teta : 0.5146999955102.45310211-161.7913970947, Error pitch : 0.5147
Tue Aug 14 2018 20:39:16Nilai ballast : -0.20961, Nilai error teta : 0.5146999955102.88480377-162.3459930420, Error pitch : 0.5147
Tue Aug 14 2018 20:39:18Nilai ballast : -0.18535, Nilai error teta : 0.4284999967102.63700103-162.0449981689, Error pitch : 0.4285
Tue Aug 14 2018 20:39:20Nilai ballast : -0.14556, Nilai error teta : 0.3184999824102.13659667-161.4486999512, Error pitch : 0.3185
Tue Aug 14 2018 20:39:23Nilai ballast : -0.08741, Nilai error teta : 0.1850999892102.13659667-161.4486999512, Error pitch : 0.1851
Tue Aug 14 2018 20:39:25Nilai ballast : -0.08199, Nilai error teta : 0.1120999902102.13659667-161.4486999512, Error pitch : 0.1529
Tue Aug 14 2018 20:39:27Nilai ballast : -0.06230, Nilai error teta : 0.1027999967102.13659667-161.4486999512, Error pitch : 0.1041
Tue Aug 14 2018 20:39:29Nilai ballast : -0.06897, Nilai error teta : 0.1048999876102.13659667-161.4486999512, Error pitch : 0.1041
Tue Aug 14 2018 20:39:32Nilai ballast : -0.07510, Nilai error teta : 0.1082999855104.58489990-164.1103973389, Error pitch : 0.1057
Tue Aug 14 2018 20:39:34Nilai ballast : -0.08185, Nilai error teta : 0.1082999855104.58489990-164.1103973389, Error pitch : 0.1083
Tue Aug 14 2018 20:39:36Nilai ballast : -0.09571, Nilai error teta : 0.1229999959105.62110137-165.3600006104, Error pitch : 0.123
Tue Aug 14 2018 20:39:38Nilai ballast : -0.10200, Nilai error teta : 0.1227999926106.32340240-166.2633056641, Error pitch : 0.124
Tue Aug 14 2018 20:39:41Nilai ballast : -0.10747, Nilai error teta : 0.1174999923106.78099823-166.8818969727, Error pitch : 0.1228
Tue Aug 14 2018 20:39:43Nilai ballast : -0.10837, Nilai error teta : 0.1049999893107.48269653-167.8771057129, Error pitch : 0.1137
Tue Aug 14 2018 20:39:45Nilai ballast : -0.10928, Nilai error teta : 0.1012999862107.72329711-168.2312927246, Error pitch : 0.105
Tue Aug 14 2018 20:39:47Nilai ballast : -0.10905, Nilai error teta : 0.0950999856108.21260070-168.9705047607, Error pitch : 0.0951
Tue Aug 14 2018 20:39:50Nilai ballast : -0.11266, Nilai error teta : 0.0884999931108.95960235-170.1412963867, Error pitch : 0.0926
Tue Aug 14 2018 20:39:52Nilai ballast : -0.11400, Nilai error teta : 0.0867999941109.21859741-170.5393981934, Error pitch : 0.0868
Tue Aug 14 2018 20:39:54Nilai ballast : -0.11573, Nilai error teta : 0.0790999979109.21859741-170.5393981934, Error pitch : 0.082
Tue Aug 14 2018 20:39:56Nilai ballast : -0.11666, Nilai error teta : 0.0737999976109.21859741-170.5393981934, Error pitch : 0.0763
Tue Aug 14 2018 20:39:59Nilai ballast : -0.11798, Nilai error teta : 0.0697999895109.21859741-170.5393981934, Error pitch : 0.0717
