Wed Aug 01 2018 22:04:49 | Control Running
Wed Aug 01 2018 22:04:49 | Control OFF
Wed Aug 01 2018 22:04:57 | Sensor Running
Wed Aug 01 2018 22:04:57 | Parsing Finished
Wed Aug 01 2018 22:05:05 | Control Running
Wed Aug 01 2018 22:05:05 | Control OFF
Wed Aug 01 2018 22:05:13 | Sensor Running
Wed Aug 01 2018 22:05:13 | Parsing Finished
Wed Aug 01 2018 22:05:22 | Control Running
Wed Aug 01 2018 22:05:22 | Control OFF
Wed Aug 01 2018 22:05:29 | Sensor Running
Wed Aug 01 2018 22:05:29 | Parsing Finished
Wed Aug 01 2018 22:05:38 | Control Running
Wed Aug 01 2018 22:05:38 | Control OFF
Wed Aug 01 2018 22:05:46 | Sensor Running
Wed Aug 01 2018 22:05:46 | Parsing Finished
Wed Aug 01 2018 22:05:54 | Control Running
Wed Aug 01 2018 22:05:54 | Control OFF
Wed Aug 01 2018 22:06:02 | Sensor Running
Wed Aug 01 2018 22:06:02 | Parsing Finished
Wed Aug 01 2018 22:06:15 | Sensor Running
Wed Aug 01 2018 22:06:15 | Parsing Finished
Wed Aug 01 2018 22:06:22 | Control Running
Wed Aug 01 2018 22:06:22 | Control OFF
Wed Aug 01 2018 22:06:30 | Sensor Running
Wed Aug 01 2018 22:06:30 | Parsing Finished
Wed Aug 01 2018 22:06:39 | Control Running
Wed Aug 01 2018 22:06:39 | Control OFF
Wed Aug 01 2018 22:06:47 | Sensor Running
Wed Aug 01 2018 22:06:47 | Parsing Finished
Wed Aug 01 2018 22:06:56 | Control Running
Wed Aug 01 2018 22:06:56 | Control OFF
Wed Aug 01 2018 22:07:03 | Sensor Running
Wed Aug 01 2018 22:07:03 | Parsing Finished
Wed Aug 01 2018 22:07:12 | Control Running
Wed Aug 01 2018 22:07:12 | Control OFF
Wed Aug 01 2018 22:07:20 | Sensor Running
Wed Aug 01 2018 22:07:20 | Parsing Finished
Wed Aug 01 2018 22:07:29 | Control Running
Wed Aug 01 2018 22:07:29 | Control OFF
Wed Aug 01 2018 22:07:37 | Sensor Running
Wed Aug 01 2018 22:07:37 | Parsing Finished
Wed Aug 01 2018 22:07:46 | Control Running
Wed Aug 01 2018 22:07:46 | Control OFF
Wed Aug 01 2018 22:07:54 | Sensor Running
Wed Aug 01 2018 22:07:54 | Parsing Finished
Wed Aug 01 2018 22:08:04 | Control Running
Wed Aug 01 2018 22:08:04 | Control OFF
Wed Aug 01 2018 22:08:11 | Sensor Running
Wed Aug 01 2018 22:08:11 | Parsing Finished
Wed Aug 01 2018 22:08:20 | Control Running
Wed Aug 01 2018 22:08:20 | Control OFF
Wed Aug 01 2018 22:08:28 | Sensor Running
Wed Aug 01 2018 22:08:28 | Parsing Finished
Wed Aug 01 2018 22:08:41 | Sensor Running
Wed Aug 01 2018 22:08:41 | Parsing Finished
Wed Aug 01 2018 22:08:48 | Control Running
Wed Aug 01 2018 22:08:48 | Control OFF
Wed Aug 01 2018 22:08:55 | Sensor Running
Wed Aug 01 2018 22:08:55 | Parsing Finished
Wed Aug 01 2018 22:09:05 | Control Running
Wed Aug 01 2018 22:09:05 | Control OFF
Wed Aug 01 2018 22:09:13 | Sensor Running
Wed Aug 01 2018 22:09:13 | Parsing Finished
Wed Aug 01 2018 22:09:21 | Control Running
Wed Aug 01 2018 22:09:21 | Control OFF
Wed Aug 01 2018 22:09:29 | Sensor Running
Wed Aug 01 2018 22:09:29 | Parsing Finished
Wed Aug 01 2018 22:09:38 | Control Running
Wed Aug 01 2018 22:09:38 | Control OFF
Wed Aug 01 2018 22:09:45 | Sensor Running
Wed Aug 01 2018 22:09:45 | Parsing Finished
Wed Aug 01 2018 22:09:55 | Control Running
Wed Aug 01 2018 22:09:55 | Control OFF
Wed Aug 01 2018 22:10:03 | Sensor Running
Wed Aug 01 2018 22:10:03 | Parsing Finished
Wed Aug 01 2018 22:10:11 | Control Running
Wed Aug 01 2018 22:10:11 | Control OFF
Wed Aug 01 2018 22:10:19 | Sensor Running
Wed Aug 01 2018 22:10:19 | Parsing Finished
Wed Aug 01 2018 22:10:27 | Control Running
Wed Aug 01 2018 22:10:27 | Control OFF
Wed Aug 01 2018 22:10:35 | Sensor Running
Wed Aug 01 2018 22:10:35 | Parsing Finished
Wed Aug 01 2018 22:10:44 | Control Running
Wed Aug 01 2018 22:10:44 | Control OFF
Wed Aug 01 2018 22:10:51 | Sensor Running
Wed Aug 01 2018 22:10:51 | Parsing Finished
Wed Aug 01 2018 22:11:05 | Sensor Running
Wed Aug 01 2018 22:11:05 | Parsing Finished
Wed Aug 01 2018 22:11:11 | Control Running
Wed Aug 01 2018 22:11:11 | Control OFF
Wed Aug 01 2018 22:11:19 | Sensor Running
Wed Aug 01 2018 22:11:19 | Parsing Finished
Wed Aug 01 2018 22:11:28 | Control Running
Wed Aug 01 2018 22:11:28 | Control OFF
Wed Aug 01 2018 22:11:35 | Sensor Running
Wed Aug 01 2018 22:11:35 | Parsing Finished
Wed Aug 01 2018 22:11:45 | Control Running
Wed Aug 01 2018 22:11:45 | Control OFF
Wed Aug 01 2018 22:11:53 | Sensor Running
Wed Aug 01 2018 22:11:53 | Parsing Finished
Wed Aug 01 2018 22:12:01 | Control Running
Wed Aug 01 2018 22:12:01 | Control OFF
Wed Aug 01 2018 22:12:09 | Sensor Running
Wed Aug 01 2018 22:12:09 | Parsing Finished
Wed Aug 01 2018 22:12:21 | Sensor Running
Wed Aug 01 2018 22:12:21 | Parsing Finished
Wed Aug 01 2018 22:12:29 | Control Running
Wed Aug 01 2018 22:12:29 | Control OFF
Wed Aug 01 2018 22:12:37 | Sensor Running
Wed Aug 01 2018 22:12:37 | Parsing Finished
Wed Aug 01 2018 22:12:45 | Control Running
Wed Aug 01 2018 22:12:45 | Control OFF
Wed Aug 01 2018 22:12:53 | Sensor Running
Wed Aug 01 2018 22:12:53 | Parsing Finished
Wed Aug 01 2018 22:13:02 | Control Running
Wed Aug 01 2018 22:13:02 | Control OFF
Wed Aug 01 2018 22:13:09 | Sensor Running
Wed Aug 01 2018 22:13:09 | Parsing Finished
Wed Aug 01 2018 22:13:18 | Control Running
Wed Aug 01 2018 22:13:18 | Control OFF
Wed Aug 01 2018 22:13:26 | Sensor Running
