Wed Aug 01 2018 22:08:20|| Error bladder : -0.2943, PID bladder : -0.5
Wed Aug 01 2018 22:08:20>> Error ballast : -21.2824, PID ballast : 0.5
Wed Aug 01 2018 22:08:48<< Error rudder : 0.00880452, PID rudder : -0.276039
Wed Aug 01 2018 22:08:48|| Error bladder : 1.097, PID bladder : 0.5
Wed Aug 01 2018 22:08:48>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:09:05<< Error rudder : 0.00974831, PID rudder : -0.263552
Wed Aug 01 2018 22:09:05|| Error bladder : 0.3377, PID bladder : 0.5
Wed Aug 01 2018 22:09:05>> Error ballast : 20, PID ballast : -0.31274
Wed Aug 01 2018 22:09:21<< Error rudder : 0.0110636, PID rudder : -0.248505
Wed Aug 01 2018 22:09:21|| Error bladder : -0.9408, PID bladder : 0.5
Wed Aug 01 2018 22:09:21>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:09:38<< Error rudder : 0.0118448, PID rudder : -0.234371
Wed Aug 01 2018 22:09:38|| Error bladder : -0.553, PID bladder : 0.5
Wed Aug 01 2018 22:09:38>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:09:55<< Error rudder : 0.014351, PID rudder : -0.212328
Wed Aug 01 2018 22:09:55|| Error bladder : 0.9634, PID bladder : 0.5
Wed Aug 01 2018 22:09:55>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:10:11<< Error rudder : 0.0173882, PID rudder : -0.185775
Wed Aug 01 2018 22:10:11|| Error bladder : 1.2767, PID bladder : -0.5
Wed Aug 01 2018 22:10:11>> Error ballast : -38.7374, PID ballast : -0.5
Wed Aug 01 2018 22:10:27<< Error rudder : 0.018729, PID rudder : -0.163194
Wed Aug 01 2018 22:10:27|| Error bladder : -0.4198, PID bladder : -0.5
Wed Aug 01 2018 22:10:27>> Error ballast : -48.1128, PID ballast : 0.5
Wed Aug 01 2018 22:10:44<< Error rudder : 0.0213176, PID rudder : -0.133986
Wed Aug 01 2018 22:10:44|| Error bladder : -0.2875, PID bladder : -0.5
Wed Aug 01 2018 22:10:44>> Error ballast : -27.6433, PID ballast : 0.5
Wed Aug 01 2018 22:11:11<< Error rudder : 0.0201862, PID rudder : -0.117565
Wed Aug 01 2018 22:11:11|| Error bladder : 1.0877, PID bladder : 0.5
Wed Aug 01 2018 22:11:11>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:11:28<< Error rudder : 0.0194521, PID rudder : -0.100276
Wed Aug 01 2018 22:11:28|| Error bladder : 0.7712, PID bladder : 0.5
Wed Aug 01 2018 22:11:28>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:11:45<< Error rudder : 0.0199462, PID rudder : -0.0787247
Wed Aug 01 2018 22:11:45|| Error bladder : -0.9943, PID bladder : 0.5
Wed Aug 01 2018 22:11:45>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:12:01<< Error rudder : 0.0191158, PID rudder : -0.0622326
Wed Aug 01 2018 22:12:01|| Error bladder : -0.8141, PID bladder : 0.5
Wed Aug 01 2018 22:12:01>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:12:29<< Error rudder : 0.0223293, PID rudder : -0.0298582
Wed Aug 01 2018 22:12:29|| Error bladder : 1.6072, PID bladder : -0.5
Wed Aug 01 2018 22:12:29>> Error ballast : -46.1074, PID ballast : -0.5
Wed Aug 01 2018 22:12:45<< Error rudder : 0.0241042, PID rudder : -0.000573432
Wed Aug 01 2018 22:12:45|| Error bladder : 1.2904, PID bladder : -0.5
Wed Aug 01 2018 22:12:45>> Error ballast : -79.4433, PID ballast : -0.5
Wed Aug 01 2018 22:13:02<< Error rudder : 0.0242902, PID rudder : 0.024116
Wed Aug 01 2018 22:13:02|| Error bladder : -0.4181, PID bladder : -0.5
Wed Aug 01 2018 22:13:02>> Error ballast : -73.2704, PID ballast : 0.5
Wed Aug 01 2018 22:13:18<< Error rudder : 0.0258753, PID rudder : 0.0548865
Wed Aug 01 2018 22:13:18|| Error bladder : -0.2873, PID bladder : -0.5
Wed Aug 01 2018 22:13:18>> Error ballast : -52.8123, PID ballast : 0.5
Wed Aug 01 2018 22:13:35<< Error rudder : 0.0245142, PID rudder : 0.0750227
Wed Aug 01 2018 22:13:35|| Error bladder : 1.4585, PID bladder : -0.5
Wed Aug 01 2018 22:13:35>> Error ballast : -33.213, PID ballast : -0.5
Wed Aug 01 2018 22:14:03<< Error rudder : 0.0216853, PID rudder : 0.0880748
Wed Aug 01 2018 22:14:03|| Error bladder : -0.8667, PID bladder : 0.5
Wed Aug 01 2018 22:14:03>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:14:19<< Error rudder : 0.0223035, PID rudder : 0.112577
Wed Aug 01 2018 22:14:19|| Error bladder : -0.7859, PID bladder : 0.5
Wed Aug 01 2018 22:14:19>> Error ballast : 20, PID ballast : 0.5
Wed Aug 01 2018 22:14:35<< Error rudder : 0.022703, PID rudder : 0.136457
Wed Aug 01 2018 22:14:35|| Error bladder : 0.8855, PID bladder : 0.5
Wed Aug 01 2018 22:14:35>> Error ballast : 20, PID ballast : -0.5
Wed Aug 01 2018 22:14:52<< Error rudder : 0.0241406, PID rudder : 0.165014
Wed Aug 01 2018 22:14:52|| Error bladder : 1.2672, PID bladder : -0.5
Wed Aug 01 2018 22:14:52>> Error ballast : -33.3637, PID ballast : -0.5
